nombre;padre;madre;hermanos;hijos;descripcion;genero;pareja
Ouranos;-;Gaia;-;Themis/Mnemosyne/Hyperion/Theia/Krios/Kronos/Rhea/Koios/Phoibe/Iapetos/Okeanos/Tethys/Aphrodite;Dios y titán personificador del cielo.;M;Gaia
Gaia;-;-;-;Ouranos/Themis/Mnemosyne/Hyperion/Theia/Krios/Kronos/Rhea/Koios/Phoibe/Iapetos/Okeanos/Tethys;Titan de la Tierra en la mitología griega.;F;Ouranos
Themis;Ouranos;Gaia;Mnemosyne/Hyperion/Theia/Krios/Kronos/Rhea/Koios/Phoibe/Iapetos/Okeanos/Tethys/Aphrodite;-;La encarnación del orden divino, las leyes y las costumbres.;F;-
Mnemosyne;Ouranos;Gaia;Themis/Hyperion/Theia/Krios/Kronos/Rhea/Koios/Phoibe/Iapetos/Okeanos/Tethys/Aphrodite;-;Diosa de la memoria y el lenguaje.;F;-
Hyperion;Ouranos;Gaia;Themis/Mnemosyne/Theia/Krios/Kronos/Rhea/Koios/Phoibe/Iapetos/Okeanos/Tethys/Aphrodite;Helios/Eos/Selene;Titán de la luz celestial.;M;Theia
Theia;Ouranos;Gaia;Themis/Mnemosyne/Hyperion/Krios/Kronos/Rhea/Koios/Phoibe/Iapetos/Okeanos/Tethys/Aphrodite;Helios/Eos/Selene;Titán de la vista, el oro, la plata, las gemas con brillo y valor intrínseco, y los cuerpos celestiales.;F;Hyperion
Krios;Ouranos;Gaia;Themis/Mnemosyne/Hyperion/Theia/Kronos/Rhea/Koios/Phoibe/Iapetos/Okeanos/Tethys/Aphrodite;-;Titán del Sur y el señorío o la dominación.;M;-
Kronos;Ouranos;Gaia;Themis/Mnemosyne/Hyperion/Theia/Krios/Rhea/Koios/Phoibe/Iapetos/Okeanos/Tethys/Aphrodite;Hades/Demeter/Poseidon/Hestia/Hera/Zeus;Pertenece a la primera generación de titanes. El más joven de los descendientes de Gea y Urano.;M;Rhea
Rhea;Ouranos;Gaia;Themis/Mnemosyne/Hyperion/Theia/Krios/Kronos/Koios/Phoibe/Iapetos/Okeanos/Tethys/Aphrodite;Hades/Demeter/Poseidon/Hestia/Hera/Zeus;Diosa de la naturaleza y la fecundidad.;F;Kronos
Koios;Ouranos;Gaia;Themis/Mnemosyne/Hyperion/Theia/Krios/Kronos/Rhea/Phoibe/Iapetos/Okeanos/Tethys/Aphrodite;Leto;Titán de la inteligencia.;M;Phoibe
Phoibe;Ouranos;Gaia;Themis/Mnemosyne/Hyperion/Theia/Krios/Kronos/Rhea/Koios/Iapetos/Okeanos/Tethys/Aphrodite;Leto;Una de las titánides originales, descendientes de Urano y Gea.;F;Koios
